dt,acc_x,acc_y,acc_z,vel_N,vel_E,vel_D,pos_N,pos_E,pos_D,rot_x,rot_y,rot_z,lat,lon,alt,pressure,state,battery,ign1_cont,ign2_cont,ign3_cont,ign4_cont,ign1_state,ign2_state,ign3_state,ign4_state,gps_fix,gps_sats,height,h,State2,gps_h,Sats 2,rotx,,rotz
20328,"0,07389187","0,01464412","-0,09842284",0,0,"-0,274031","1,779863","2,43251","2,693964","50,4129","268,0951","355,6746","50,33809183","19,531012","338,8999939",98601,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,2605546",0,0,0,1000,0,,
20690,"0,001673535","-0,005906776","-0,0746506",0,0,"-0,2739386","1,779863","2,420644","2,693254","50,43916","268,1558","355,7732","50,33809183","19,53101217","338,7999878",98599,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,430755","0,1702003646",0,"-0,1000061035",1000,"0,02626",,
20256,"0,06719524","-0,03894293","-0,04995521",0,0,"-0,2728195","1,779863","2,420644","2,695056","50,45102","268,1594","355,7809","50,33809183","19,53101217","338,7999878",98599,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,430755","0,1702003646",0,"-0,1000061035",1000,"0,03812",,
20185,"0,02939319","0,008556515","-0,113921",0,0,"-0,271941","1,761323","2,420644","2,696802","50,48212","268,2129","355,7709","50,338092","19,53101217","338,7000122",98598,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,5158562","0,2553015952",0,"-0,1999816895",1000,"0,06922",,
20136,"0,06087749","0,01576981","-0,07767375",0,0,"-0,2706596","1,761323","2,420644","2,699722","50,48387","268,2153","355,7937","50,338092","19,53101217","338,7000122",98597,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,6009581","0,3404035247",0,"-0,1999816895",1000,"0,07097",,
20296,"0,01305191","0,06019362","-0,08637889",0,0,"-0,2696051","1,705702","2,361314","2,702442","50,50379","268,1938","355,7823","50,3380925","19,531013","338,6000061",98599,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,430755","0,1702003646",0,"-0,299987793",1000,"0,09089",,
20062,"-0,04813183","0,03738812","-0,09441264",0,0,"-0,2686861","1,705702","2,361314","2,704121","50,49137","268,2339","355,8512","50,3380925","19,531013","338,6000061",98599,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,430755","0,1702003646",0,"-0,299987793",1000,"0,07847",,
20147,"-0,05338467","0,06195733","-0,07069094",0,0,"-0,2685448","1,668622","2,313851","2,704295","50,51455","268,1589","355,8426","50,33809283","19,53101367","338,6000061",98599,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,430755","0,1702003646",0,"-0,299987793",1000,"0,10165",,
20012,"-0,03974727","0,04539639","-0,06070312",0,0,"-0,2680615","1,668622","2,313851","2,705237","50,49573","268,067","355,8139","50,33809283","19,53101367","338,6000061",98597,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,6009581","0,3404035247",0,"-0,299987793",1000,"0,08283",,
20321,"-0,02359009","-0,007162333","-0,04876407",0,0,"-0,2676343","1,631541","2,266387","2,705008","50,50086","268,0502","355,7885","50,33809317","19,53101433","338,6000061",98601,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,2605546",0,0,"-0,299987793",1000,"0,08796",,
20019,"-0,009539619","-0,01677509","-0,07377799",0,0,"-0,2671165","1,631541","2,266387","2,70538","50,52328","268,0968","355,8851","50,33809317","19,53101433","338,6000061",98599,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,430755","0,1702003646",0,"-0,299987793",1000,"0,11038",,
20015,"0,122925","0,00371559","-0,06930239",0,0,"-0,2661943","1,631541","2,242655","2,707352","50,49184","268,0706","355,7997","50,33809317","19,53101467","338,6000061",98598,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,5158562","0,2553015952",0,"-0,299987793",1000,"0,07894",,
20065,"0,06127784","0,01623685","-0,07650359",0,0,"-0,2643415","1,631541","2,242655","2,711069","50,51218","268,1258","355,8093","50,33809317","19,53101467","338,6000061",98596,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,6860608","0,4255061531",0,"-0,299987793",1000,"0,09928",,
20110,"0,05283403","-0,06423868","-0,08130057",0,0,"-0,2624426","1,650081","2,230789","2,715279","50,53823","268,1671","355,7629","50,338093","19,53101483","338,7000122",98597,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,6009581","0,3404035247",0,"-0,1999816895",1000,"0,12533",,
20020,"0,067654","-0,008910544","-0,1034964",0,0,"-0,2601998","1,650081","2,230789","2,719677","50,58962","268,261","355,8372","50,338093","19,53101483","338,7000122",98595,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,7711641","0,5106094805",0,"-0,1999816895",1000,"0,17672",,
20015,"-0,007086128","-0,02170946","-0,09728892",0,0,"-0,2590577","1,705702","2,242655","2,722291","50,57617","268,2446","355,788","50,3380925","19,53101467","338,7000122",98598,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,5158562","0,2553015952",0,"-0,1999816895",1000,"0,16327",,
20013,"-0,02085284","0,02688673","-0,07310756",0,0,"-0,2583674","1,705702","2,242655","2,724195","50,5361","268,2167","355,7948","50,3380925","19,53101467","338,7999878",98599,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,430755","0,1702003646",0,"-0,1000061035",1000,"0,1232",,
20419,"-0,02108361","-0,06206226","-0,1187371",0,0,"-0,2580225","1,724242","2,218923","2,724807","50,54679","268,18","355,7134","50,33809233","19,531015","338,7999878",98600,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,3456544","0,08509983286",0,"-0,1000061035",1000,"0,13389",,
20033,"-0,04502544","-0,002188832","-0,06648143",0,0,"-0,2582456","1,724242","2,218923","2,72323","50,4897","268,1544","355,706","50,33809233","19,531015","338,7999878",98600,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,3456544","0,08509983286",0,"-0,1000061035",1000,"0,0768",,
20301,"-0,0178033","-0,01401353","-0,1086643",0,0,"-0,2575016","1,724242","2,17146","2,724601","50,46794","268,1046","355,7179","50,33809233","19,53101567","338,8999939",98598,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,5158562","0,2553015952",0,0,1000,"0,05504",,
20209,"0,02992043","-0,01137477","-0,1524018",0,0,"-0,2567029","1,724242","2,17146","2,72683","50,45743","268,0119","355,6504","50,33809233","19,53101567","338,8999939",98599,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,430755","0,1702003646",0,0,1000,"0,04453",,
20426,"-0,0101146","0,04123023","-0,112274",0,0,"-0,2558785","1,742782","2,100264","2,728451","50,46461","268,013","355,5907","50,33809217","19,53101667","338,8999939",98598,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,5158562","0,2553015952",0,0,1000,"0,05171",,
20480,"0,04599459","-0,01815458","-0,09747393",0,0,"-0,2546363","1,742782","2,100264","2,731116","50,48907","268,0757","355,6545","50,33809217","19,53101667","338,8999939",98597,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,6009581","0,3404035247",0,0,1000,"0,07617",,
20354,"-0,06788923","0,01967502","-0,1147879",0,0,"-0,2524816","1,724242","2,052801","2,736095","50,48788","268,0902","355,6682","50,33809233","19,53101733","338,8999939",98595,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,7711641","0,5106094805",0,0,1000,"0,07498",,
20235,"-0,003637001","-0,004047573","-0,09587081",0,0,"-0,2502044","1,724242","2,052801","2,741041","50,50867","268,1171","355,6833","50,33809233","19,53101733","338,8999939",98596,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,6860608","0,4255061531",0,0,1000,"0,09577",,
20144,"-0,01961096","0,01114856","-0,1689709",0,0,"-0,2487561","1,705702","2,005337","2,745774","50,53242","268,1039","355,6804","50,3380925","19,531018","338,7999878",98597,0,"7,65",1,1,0,0,0,0,0,0,1,10,"229,6009581","0,3404035247",0,"-0,1000061035",1000,"0,11952",,
