# Time (s),Altitude (m),Vertical velocity (m/s),Drag coefficient (),Air density (g/cm³),Mach number (),Reference area (cm²)
0,0,0,0.6078,0.0012,0.0055,124.6898
0.0025,0,0,0.6074,0.0012,0.0055,124.6898
0.005,0,0,0.607,0.0012,0.0056,124.6898
0.0075,0,0,0.6066,0.0012,0.0056,124.6898
0.01,0,0,0.6062,0.0012,0.0056,124.6898
0.0125,0,0,0.6058,0.0012,0.0056,124.6898
0.015,0,0,0.6053,0.0012,0.0056,124.6898
0.0175,0,0.0003,0.6049,0.0012,0.0057,124.6898
0.02,0,0.0047,0.6045,0.0012,0.0057,124.6898
0.0225,0,0.0138,0.6041,0.0012,0.0057,124.6898
0.025,0.0001,0.0276,0.6037,0.0012,0.0057,124.6898
0.0275,0.0002,0.0459,0.6033,0.0012,0.0058,124.6898
0.03,0.0003,0.0685,0.6029,0.0012,0.0058,124.6898
0.0325,0.0005,0.0953,0.6024,0.0012,0.0058,124.6898
0.035,0.0008,0.126,0.6019,0.0012,0.0058,124.6898
0.0375,0.0011,0.1606,0.6014,0.0012,0.0059,124.6898
0.04,0.0016,0.1988,0.6009,0.0012,0.0059,124.6898
0.0425,0.0021,0.2406,0.6002,0.0012,0.0059,124.6898
0.045,0.0028,0.2858,0.5995,0.0012,0.006,124.6898
0.0475,0.0036,0.3343,0.5988,0.0012,0.006,124.6898
0.05,0.0045,0.386,0.5979,0.0012,0.006,124.6898
0.0525,0.0055,0.4406,0.5973,0.0012,0.0061,124.6898
0.055,0.0067,0.4982,0.5966,0.0012,0.0061,124.6898
0.0575,0.008,0.5585,0.5958,0.0012,0.0062,124.6898
0.06,0.0095,0.6215,0.5949,0.0012,0.0062,124.6898
0.0625,0.0111,0.6871,0.5938,0.0012,0.0063,124.6898
0.065,0.0129,0.7552,0.5927,0.0012,0.0063,124.6898
0.0675,0.0149,0.8256,0.5914,0.0012,0.0064,124.6898
0.07,0.017,0.8983,0.59,0.0012,0.0065,124.6898
0.0725,0.0194,0.9732,0.5885,0.0012,0.0066,124.6898
0.075,0.0219,1.0501,0.5869,0.0012,0.0067,124.6898
0.0775,0.0246,1.1291,0.5852,0.0012,0.0068,124.6898
0.08,0.0276,1.21,0.5834,0.0012,0.0069,124.6898
0.0825,0.0307,1.2927,0.5815,0.0012,0.0071,124.6898
0.085,0.034,1.3772,0.5795,0.0012,0.0072,124.6898
0.0875,0.0376,1.4634,0.5775,0.0012,0.0074,124.6898
0.09,0.0413,1.5512,0.5754,0.0012,0.0075,124.6898
0.0925,0.0453,1.6405,0.5732,0.0012,0.0077,124.6898
