# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Simulation time step (s)
0,0,0,0,0.0025
0.0025,0,0,0,0.0025
0.005,0,0,0,0.0025
0.0075,0,0,0,0.0025
0.01,0,0,0,0.0025
0.0125,0,0,0,0.0025
0.015,0,0,0,0.0025
0.0175,0,0.0003,0.7466,0.0025
0.02,0,0.0047,2.7142,0.0025
0.0225,0,0.0138,4.6069,0.0025
0.025,0.0001,0.0276,6.4329,0.0025
0.0275,0.0002,0.0459,8.188,0.0025
0.03,0.0003,0.0685,9.8797,0.0025
0.0325,0.0005,0.0953,11.5049,0.0025
0.035,0.0008,0.126,13.0705,0.0025
0.0375,0.0011,0.1606,14.5739,0.0025
0.04,0.0016,0.1988,16.0219,0.0025
0.0425,0.0021,0.2406,17.4115,0.0025
0.045,0.0028,0.2858,18.7491,0.0025
0.0475,0.0036,0.3343,20.0322,0.0025
0.05,0.0045,0.386,21.2668,0.0025
0.0525,0.0055,0.4406,22.4507,0.0025
0.055,0.0067,0.4982,23.5894,0.0025
0.0575,0.008,0.5585,24.681,0.0025
0.06,0.0095,0.6215,25.7307,0.0025
0.0625,0.0111,0.6871,26.7366,0.0025
0.065,0.0129,0.7552,27.7034,0.0025
0.0675,0.0149,0.8256,28.6295,0.0025
0.07,0.017,0.8983,29.5193,0.0025
0.0725,0.0194,0.9732,30.3714,0.0025
0.075,0.0219,1.0501,31.1899,0.0025
0.0775,0.0246,1.1291,31.9734,0.0025
0.08,0.0276,1.21,32.7259,0.0025
0.0825,0.0307,1.2927,33.446,0.0025
0.085,0.034,1.3772,34.1374,0.0025
0.0875,0.0376,1.4634,34.7988,0.0025
0.09,0.0413,1.5512,35.4338,0.0025
0.0925,0.0453,1.6405,36.0411,0.0025
0.095,0.0495,1.7313,36.6239,0.0025
0.0975,0.054,1.8236,37.1811,0.0025
0.1,0.0587,1.9172,37.7157,0.0025
0.1025,0.0636,2.0122,38.2268,0.0025
0.105,0.0687,2.1083,38.717,0.0025
0.1075,0.0741,2.2057,39.1855,0.0025
0.11,0.0798,2.3043,39.6348,0.0025
0.1125,0.0856,2.4039,40.0641,0.0025
0.115,0.0918,2.5046,40.4757,0.0025
0.1175,0.0982,2.6062,40.8689,0.0025
0.12,0.1048,2.7089,41.2459,0.0025
0.1225,0.1117,2.8125,41.606,0.0025
0.125,0.1189,2.9169,41.9511,0.0025
0.1275,0.1263,3.0222,42.2807,0.0025
0.13,0.134,3.1283,42.5966,0.0025
0.1325,0.1419,3.2352,42.8982,0.0025
0.135,0.1502,3.3428,43.1871,0.0025
0.1375,0.1587,3.4511,43.463,0.0025
0.14,0.1674,3.5601,43.7273,0.0025
0.1425,0.1765,3.6697,43.9796,0.0025
0.145,0.1858,3.78,44.2213,0.0025
0.1475,0.1954,3.8908,44.4519,0.0025
0.15,0.2052,4.0022,44.6728,0.0025
0.1525,0.2154,4.1142,44.8836,0.0025
0.155,0.2258,4.2266,45.0855,0.0025
0.1575,0.2365,4.3396,45.2781,0.0025
0.16,0.2475,4.453,45.4625,0.0025
0.1625,0.2588,4.5669,45.6385,0.0025
0.165,0.2703,4.6812,45.807,0.0025
0.1675,0.2822,4.7959,45.9677,0.0025
0.17,0.2943,4.911,46.1215,0.0025
0.1725,0.3067,5.0265,46.2682,0.0025
0.175,0.3194,5.1424,46.4087,0.0025
0.1775,0.3324,5.2586,46.5426,0.0025
0.18,0.3457,5.3751,46.6707,0.0025
0.1825,0.3593,5.4919,46.793,0.0025
0.185,0.3732,5.609,46.9099,0.0025
0.1875,0.3874,5.7265,47.0214,0.0025
0.19,0.4018,5.8441,47.1281,0.0025
0.1925,0.4166,5.9621,47.2298,0.0025
0.195,0.4316,6.0803,47.3271,0.0025
0.1975,0.447,6.1987,47.4199,0.0025
0.2,0.4626,6.3174,47.5086,0.0025
0.2025,0.4786,6.4363,47.5931,0.0025
0.205,0.4948,6.5553,47.674,0.0025
0.2075,0.5113,6.6746,47.7511,0.0025
0.21,0.5282,6.7941,47.8249,0.0025
0.2125,0.5453,6.9138,47.8951,0.0025
0.215,0.5628,7.0336,47.9623,0.0025
0.2175,0.5805,7.1536,48.0263,0.0025
0.22,0.5985,7.2737,48.0875,0.0025
0.2225,0.6169,7.394,48.1458,0.0025
0.225,0.6355,7.5144,48.2016,0.0025
0.2275,0.6544,7.635,48.2547,0.0025
0.23,0.6737,7.7557,48.3054,0.0025
0.2325,0.6932,7.8765,48.3538,0.0025
